PassengerId,Survived_pred,Probability_Survival
892,0,0.13120142779851712
893,0,0.3435013256532735
894,0,0.2239107738571248
895,0,0.1742846714313013
896,0,0.3674630454749617
897,0,0.07630777330125511
898,1,0.6270235809520742
899,0,0.10135876242471482
900,1,0.8913730567484908
901,0,0.06227069541313927
902,0,0.0747819575973428
903,0,0.1451822216500351
904,1,0.9265013321056488
905,0,0.2055622242307356
906,1,0.9002354901895627
907,1,0.9321889670407093
908,0,0.15900273198339834
909,0,0.24217165888872086
910,1,0.6735545425753978
911,1,0.6050091299346994
912,0,0.38722586814005655
913,0,0.3104371811952274
914,1,0.9628425876098475
915,0,0.4563278162790918
916,1,0.9975963472945
917,0,0.012571734215003239
918,1,0.9753050440588478
919,0,0.25775259024628344
920,0,0.43374003080404455
921,0,0.13183233214365875
922,0,0.050917202105780754
923,0,0.08384786302490038
924,1,0.5867725647414745
925,0,0.449869205377677
926,0,0.38924813783708806
927,0,0.2566284818057991
928,0,0.4314910450298928
929,0,0.31592509513189965
930,0,0.07185348352482493
931,0,0.3884254535692266
932,0,0.15801910756672477
933,0,0.34274832438645036
934,0,0.0744180707909985
935,1,0.9224337424517003
936,1,0.9747299829001443
937,0,0.1846073304659839
938,0,0.24009034492567993
939,0,0.14868913709577763
940,1,0.9861886843458093
941,1,0.7902781734089458
942,0,0.2805875296431533
943,0,0.17669781240354718
944,1,0.8460741749456233
945,1,0.8873539570687335
946,0,0.21289639842808158
947,0,0.03065695712502108
948,0,0.08612393181492022
949,0,0.1283522325930892
950,0,0.10076380553374309
951,1,0.9957095085493133
952,0,0.07477584803959274
953,0,0.2790305375973376
954,0,0.11406685424668059
955,1,0.7007873631165068
956,0,0.18605513490803532
957,1,0.9339611645473958
958,1,0.5770921825540675
959,0,0.07748417834708991
960,0,0.35218571374892554
961,1,0.6789234914300883
962,1,0.587533162949017
963,0,0.05845749603538397
964,1,0.7302508239340877
965,0,0.2853640689683956
966,1,0.9729610842391881
967,0,0.35092345597509866
968,0,0.08487187123447486
969,1,0.9578505279652738
970,0,0.13396841805387885
971,1,0.587533162949017
972,1,0.9133295704055165
973,0,0.026405781360571767
974,0,0.3513374726710746
975,0,0.0747819575973428
976,0,0.13786537408779395
977,0,0.058551491426137296
978,1,0.78913716059125
979,0,0.33285095043575164
980,1,0.6829671178578803
981,1,0.8008258168338951
982,0,0.34940721807206426
983,0,0.13431496905441415
984,1,0.9142195299525894
985,0,0.08487187123447486
986,0,0.3554630573029587
987,0,0.11466282209387868
988,1,0.8058916552574311
989,0,0.24856963101789192
990,0,0.4630782555685011
991,0,0.09758275320099288
992,1,0.9917214864992807
993,0,0.19402994595358086
994,0,0.14868913709577763
995,0,0.20360586288710952
996,1,0.5878935568760365
997,0,0.12983071666520657
998,0,0.11448441215598751
999,0,0.14868913709577763
1000,0,0.08487187123447486
1001,0,0.09841935810160002
1002,0,0.06491883704905843
1003,1,0.6829671178578803
1004,1,0.9802012822424607
1005,1,0.7811011211462021
1006,1,0.8503074664953377
1007,0,0.07578241769868167
1008,0,0.050779893088864006
1009,1,0.9345410199127456
1010,0,0.43958587882801553
1011,1,0.911546454310698
1012,1,0.9384330018847029
1013,0,0.08934447196475528
1014,1,0.9777429988234964
1015,0,0.08737392476919412
1016,0,0.14868913709577763
1017,1,0.5247744196720093
1018,0,0.11466282209387868
1019,1,0.6369760169516971
1020,0,0.15002879582114603
1021,0,0.07185348352482493
1022,0,0.19944996612527177
1023,0,0.19106520638482566
1024,0,0.07653529612273036
1025,0,0.02917352819750841
1026,0,0.053070791701584304
1027,0,0.11095552930174189
1028,0,0.3745860331009984
1029,0,0.19184969391125067
1030,0,0.33415885210811747
1031,0,0.0034029216463037208
1032,0,0.009464745618453342
1033,1,0.957643890467572
1034,1,0.8329030183193274
1035,0,0.13872606247608263
1036,0,0.3898400723804598
1037,0,0.193415132519619
1038,0,0.15842336115288252
1039,0,0.07185348352482493
1040,0,0.34274832438645036
1041,0,0.10199504308172931
1042,1,0.9753050440588478
1043,0,0.12321139049174522
1044,0,0.02641589227352908
1045,1,0.6458063650749389
1046,0,0.024967793388519427
1047,0,0.1283522325930892
1048,1,0.9555453256942142
1049,0,0.44722433732488925
1050,0,0.3898400723804598
1051,1,0.6157987973680624
1052,1,0.8087521498302299
1053,1,0.7339192780711411
1054,1,0.9353020072694078
1055,0,0.19366931460767625
1056,0,0.1393867663673818
1057,1,0.5501151168715587
1058,0,0.2154761394900375
1059,0,0.06294564805691703
1060,1,0.9667083088202988
1061,0,0.33415885210811747
1062,0,0.08737392476919412
1063,0,0.43643016934493
1064,0,0.07492455510211217
1065,0,0.14270029435993276
1066,0,0.00781626576894359
1067,1,0.9138394718469495
1068,1,0.913759064280721
1069,1,0.5470174153652138
1070,1,0.9866441559116832
1071,1,0.9591291149879437
1072,0,0.13396841805387885
1073,0,0.37805971701239144
1074,1,0.9706502193478191
1075,0,0.14868913709577763
1076,1,0.9387980289640846
1077,0,0.20924078416671724
1078,1,0.8958928259436172
1079,0,0.05044390290427617
1080,0,0.08062929223808386
1081,0,0.1393867663673818
1082,0,0.12429112630404862
1083,0,0.2757036572413446
1084,0,0.1512488141406666
1085,0,0.08188786098773063
1086,1,0.7470004109340556
1087,0,0.12841832700999184
1088,1,0.9963152770420649
1089,0,0.4549398595044597
1090,0,0.11511047765007615
